user,artist,plays
user_0014,A.R. Rahman,77
user_0014,Pritam,113
user_0014,Sonu Nigam,28
user_0014,Neha Kakkar,60
user_0014,Badshah,118
user_0014,Sunidhi Chauhan,50
user_0014,Arijit Singh,33
user_0014,The Killers,27
user_0014,OneRepublic,35
user_0014,Imagine Dragons,8
user_0014,Green Day,31
user_0014,Maroon 5,10
user_0015,Marshmello,21
user_0015,Avicii,87
user_0015,David Guetta,31
user_0015,Alan Walker,49
user_0015,Martin Garrix,103
user_0015,Calvin Harris,45
user_0015,Kygo,100
user_0015,The Killers,19
user_0015,OneRepublic,9
user_0015,Green Day,18
user_0015,Foo Fighters,38
user_0016,Sunidhi Chauhan,104
user_0016,Pritam,102
user_0016,Sonu Nigam,116
user_0016,Shreya Ghoshal,30
user_0016,Badshah,109
user_0016,Neha Kakkar,26
user_0016,Maroon 5,10
user_0016,Green Day,37
user_0016,Imagine Dragons,38
user_0017,Shreya Ghoshal,37
user_0017,Badshah,103
user_0017,Neha Kakkar,25
user_0017,A.R. Rahman,63
user_0017,Arijit Singh,79
user_0017,Sunidhi Chauhan,72
user_0017,Calvin Harris,22
user_0017,Alan Walker,11
user_0017,David Guetta,37
user_0017,Zedd,13
user_0017,Martin Garrix,13
user_0018,OneRepublic,30
user_0018,Maroon 5,25
user_0018,The Killers,60
user_0018,Imagine Dragons,113
user_0018,Coldplay,89
user_0018,Linkin Park,30
user_0018,Foo Fighters,104
user_0019,Drake,103
user_0019,Kendrick Lamar,74
user_0019,Post Malone,52
user_0019,Nicki Minaj,71
user_0019,Cardi B,117
user_0019,Travis Scott,106
user_0019,Martin Garrix,22
user_0019,Alan Walker,10
user_0019,Avicii,20
user_0019,Calvin Harris,26
user_0020,Coldplay,87
user_0020,Linkin Park,112
user_0020,OneRepublic,106
user_0020,The Killers,68
user_0020,Foo Fighters,97
user_0020,Green Day,53
user_0020,Imagine Dragons,66
user_0021,Pritam,80
user_0021,A.R. Rahman,90
user_0021,Sunidhi Chauhan,70
user_0021,Neha Kakkar,106
user_0021,Badshah,112
user_0021,Arijit Singh,33
user_0021,Shreya Ghoshal,116
user_0021,Martin Garrix,39
user_0021,Calvin Harris,39
user_0021,Marshmello,11
user_0021,David Guetta,33
user_0022,Pritam,82
user_0022,Badshah,36
user_0022,Sonu Nigam,37
user_0022,Arijit Singh,33
user_0022,Neha Kakkar,77
user_0022,Sunidhi Chauhan,20
user_0022,A.R. Rahman,77
user_0022,Zedd,26
user_0022,Calvin Harris,10
user_0022,David Guetta,38
user_0022,Kygo,35
user_0023,Taylor Swift,110
user_0023,Ariana Grande,102
user_0023,Katy Perry,97
user_0023,Dua Lipa,84
user_0023,Bruno Mars,47
user_0023,Ed Sheeran,100
user_0023,Justin Bieber,56
user_0023,Adele,73
user_0023,Green Day,11
user_0023,Foo Fighters,24
user_0023,Coldplay,39
user_0023,Linkin Park,38
user_0023,OneRepublic,17
user_0024,Martin Garrix,108
user_0024,Avicii,84
user_0024,Calvin Harris,32
user_0024,Marshmello,32
user_0024,Alan Walker,68
user_0024,Zedd,79
user_0024,Kygo,23
user_0024,Katy Perry,20
user_0024,Bruno Mars,5
user_0024,Ariana Grande,15
user_0024,Dua Lipa,23
user_0025,Kendrick Lamar,120
user_0025,J. Cole,22
user_0025,Travis Scott,87
user_0025,Eminem,33
user_0025,Cardi B,85
user_0025,Post Malone,82
user_0025,Drake,29
user_0025,Nicki Minaj,88
user_0025,Maroon 5,12
user_0025,Imagine Dragons,5
user_0025,The Killers,37
user_0026,Coldplay,105
user_0026,OneRepublic,44
user_0026,Imagine Dragons,25
user_0026,Linkin Park,87
user_0026,Foo Fighters,100
user_0026,The Killers,117
user_0026,Green Day,113
user_0027,Cardi B,28
user_0027,Nicki Minaj,105
user_0027,Drake,65
user_0027,J. Cole,35
user_0027,Kendrick Lamar,102
user_0027,Travis Scott,94
user_0027,Post Malone,25
user_0027,Eminem,39
user_0027,Justin Bieber,6
user_0027,Katy Perry,12
user_0027,Ariana Grande,36
user_0027,Adele,21
user_0027,Dua Lipa,30
user_0028,Arijit Singh,84
user_0028,Shreya Ghoshal,108
user_0028,Badshah,77
user_0028,A.R. Rahman,65
user_0028,Neha Kakkar,34
user_0028,Sunidhi Chauhan,45
user_0028,Kendrick Lamar,10
user_0028,Cardi B,10
user_0028,Travis Scott,21
user_0028,Post Malone,23
user_0029,Kygo,81
user_0029,David Guetta,60
user_0029,Martin Garrix,84
user_0029,Marshmello,118
user_0029,Zedd,61
user_0029,Alan Walker,35
user_0029,Avicii,61
user_0029,J. Cole,22
user_0029,Travis Scott,10
user_0029,Eminem,13
user_0029,Drake,8
user_0030,Shreya Ghoshal,39
user_0030,Neha Kakkar,63
user_0030,Badshah,73
user_0030,Sonu Nigam,83
user_0030,Pritam,73
user_0030,A.R. Rahman,56
user_0030,Sunidhi Chauhan,117
user_0030,Nicki Minaj,14
user_0030,J. Cole,33
user_0030,Post Malone,13
user_0031,Maroon 5,77
user_0031,OneRepublic,53
user_0031,Coldplay,69
user_0031,Imagine Dragons,37
user_0031,Green Day,93
user_0031,The Killers,51
user_0031,Foo Fighters,26
user_0031,Calvin Harris,13
user_0031,David Guetta,26
user_0031,Kygo,29
user_0031,Martin Garrix,9
user_0032,Pritam,59
user_0032,A.R. Rahman,113
user_0032,Neha Kakkar,84
user_0032,Shreya Ghoshal,53
user_0032,Sonu Nigam,21
user_0032,Sunidhi Chauhan,88
user_0032,Arijit Singh,41
user_0032,Katy Perry,33
user_0032,Dua Lipa,40
user_0032,Taylor Swift,28
user_0032,Justin Bieber,10
user_0032,Adele,23
user_0033,Pritam,111
user_0033,A.R. Rahman,115
user_0033,Sonu Nigam,24
user_0033,Shreya Ghoshal,83
user_0033,Arijit Singh,43
user_0033,Sunidhi Chauhan,39
user_0033,Badshah,49
user_0033,Neha Kakkar,39
user_0033,Marshmello,27
user_0033,Martin Garrix,25
user_0033,Alan Walker,28
user_0033,Zedd,19
user_0034,Marshmello,97
user_0034,Kygo,89
user_0034,Calvin Harris,106
user_0034,Alan Walker,57
user_0034,David Guetta,70
user_0034,Martin Garrix,63
user_0034,Avicii,111
user_0034,Zedd,50
user_0035,Badshah,59
user_0035,Pritam,37
user_0035,Shreya Ghoshal,20
user_0035,Sonu Nigam,54
user_0035,Sunidhi Chauhan,51
user_0035,Neha Kakkar,39
user_0035,Arijit Singh,46
user_0036,Taylor Swift,119
user_0036,Ariana Grande,101
user_0036,Justin Bieber,82
user_0036,Dua Lipa,108
user_0036,Adele,68
user_0036,Katy Perry,119
user_0036,Ed Sheeran,96
user_0036,Bruno Mars,85
user_0036,Nicki Minaj,7
user_0036,J. Cole,9
user_0036,Post Malone,23
user_0037,Martin Garrix,95
user_0037,David Guetta,84
user_0037,Avicii,54
user_0037,Calvin Harris,20
user_0037,Alan Walker,32
user_0037,Zedd,50
user_0037,Kygo,24
user_0037,Marshmello,71
user_0037,J. Cole,8
user_0037,Kendrick Lamar,12
user_0037,Cardi B,24
user_0037,Travis Scott,24
user_0037,Drake,33
user_0038,Green Day,86
user_0038,Imagine Dragons,98
user_0038,OneRepublic,20
user_0038,The Killers,107
user_0038,Linkin Park,94
user_0038,Foo Fighters,94
user_0038,Maroon 5,59
user_0038,Coldplay,100
user_0038,Post Malone,5
user_0038,Eminem,39
user_0038,Drake,23
user_0039,Linkin Park,98
user_0039,Coldplay,106
user_0039,Foo Fighters,111
user_0039,OneRepublic,50
user_0039,Maroon 5,91
user_0039,The Killers,79
user_0039,Imagine Dragons,65
user_0039,Green Day,60
user_0039,Pritam,34
user_0039,Neha Kakkar,24
user_0039,Sonu Nigam,40
user_0039,Sunidhi Chauhan,27
user_0039,Arijit Singh,15
user_0040,Kygo,112
user_0040,Avicii,42
user_0040,Marshmello,70
user_0040,Alan Walker,54
user_0040,Calvin Harris,33
user_0040,Zedd,30
user_0040,Martin Garrix,56
user_0040,OneRepublic,27
user_0040,Maroon 5,36
user_0040,Coldplay,17
user_0041,Pritam,52
user_0041,Sonu Nigam,109
user_0041,Shreya Ghoshal,111
user_0041,Badshah,50
user_0041,Sunidhi Chauhan,73
user_0041,Neha Kakkar,119
user_0041,A.R. Rahman,94
user_0041,Zedd,10
user_0041,Martin Garrix,17
user_0041,Marshmello,36
user_0041,Alan Walker,5
user_0042,Imagine Dragons,79
user_0042,Green Day,88
user_0042,Foo Fighters,45
user_0042,OneRepublic,102
user_0042,The Killers,87
user_0042,Linkin Park,111
user_0043,Arijit Singh,63
user_0043,Shreya Ghoshal,34
user_0043,Badshah,23
user_0043,Sunidhi Chauhan,114
user_0043,Pritam,116
user_0043,A.R. Rahman,94
user_0043,Ariana Grande,14
user_0043,Ed Sheeran,23
user_0043,Taylor Swift,33
user_0044,Green Day,118
user_0044,The Killers,50
user_0044,OneRepublic,69
user_0044,Linkin Park,59
user_0044,Maroon 5,43
user_0044,Coldplay,62
user_0044,Taylor Swift,6
user_0044,Adele,16
user_0044,Ariana Grande,19
user_0044,Katy Perry,20
user_0045,Neha Kakkar,95
user_0045,Arijit Singh,53
user_0045,Badshah,44
user_0045,Sunidhi Chauhan,113
user_0045,Sonu Nigam,68
user_0045,A.R. Rahman,24
user_0045,Pritam,69
user_0045,Shreya Ghoshal,66
user_0045,Taylor Swift,38
user_0045,Dua Lipa,8
user_0045,Bruno Mars,5
user_0046,Cardi B,79
user_0046,Nicki Minaj,89
user_0046,J. Cole,105
user_0046,Kendrick Lamar,69
user_0046,Eminem,20
user_0046,Post Malone,48
user_0046,Pritam,14
user_0046,Sunidhi Chauhan,13
user_0046,Badshah,38
user_0047,Arijit Singh,80
user_0047,Sunidhi Chauhan,49
user_0047,Sonu Nigam,41
user_0047,Neha Kakkar,72
user_0047,A.R. Rahman,61
user_0047,Shreya Ghoshal,84
user_0047,Pritam,52
user_0047,Travis Scott,10
user_0047,Kendrick Lamar,28
user_0047,Post Malone,31
user_0048,Cardi B,26
user_0048,J. Cole,37
user_0048,Kendrick Lamar,100
user_0048,Nicki Minaj,71
user_0048,Travis Scott,32
user_0048,Eminem,120
user_0048,Drake,46
user_0048,Post Malone,20
user_0048,Sonu Nigam,24
user_0048,Arijit Singh,10
user_0048,Sunidhi Chauhan,27
user_0048,A.R. Rahman,11
user_0048,Badshah,14
user_0049,Avicii,80
user_0049,Marshmello,35
user_0049,Martin Garrix,43
user_0049,Alan Walker,105
user_0049,Kygo,108
user_0049,Zedd,104
user_0049,OneRepublic,24
user_0049,The Killers,31
user_0049,Foo Fighters,32
user_0050,Sonu Nigam,56
user_0050,Neha Kakkar,72
user_0050,Badshah,63
user_0050,A.R. Rahman,61
user_0050,Pritam,114
user_0050,Arijit Singh,29
user_0051,Kygo,112
user_0051,Zedd,44
user_0051,Alan Walker,41
user_0051,David Guetta,54
user_0051,Marshmello,67
user_0051,Martin Garrix,108
user_0051,Avicii,94
user_0052,Martin Garrix,111
user_0052,David Guetta,90
user_0052,Marshmello,107
user_0052,Alan Walker,106
user_0052,Calvin Harris,100
user_0052,Zedd,70
user_0052,Kygo,30
user_0052,Shreya Ghoshal,36
user_0052,Badshah,27
user_0052,Sunidhi Chauhan,19
user_0052,Pritam,27
user_0052,Arijit Singh,16
user_0053,Maroon 5,58
user_0053,Coldplay,56
user_0053,The Killers,59
user_0053,Imagine Dragons,97
user_0053,OneRepublic,33
user_0053,Linkin Park,53
user_0053,Foo Fighters,36
user_0053,Justin Bieber,32
user_0053,Katy Perry,26
user_0053,Ed Sheeran,36
user_0053,Taylor Swift,17
user_0054,The Killers,29
user_0054,OneRepublic,116
user_0054,Foo Fighters,44
user_0054,Green Day,85
user_0054,Coldplay,88
user_0054,Maroon 5,70
user_0054,Linkin Park,109
user_0054,Katy Perry,32
user_0054,Dua Lipa,37
user_0054,Ed Sheeran,8
user_0055,Post Malone,102
user_0055,Drake,105
user_0055,Eminem,95
user_0055,Travis Scott,82
user_0055,J. Cole,60
user_0055,Kendrick Lamar,74
user_0055,Cardi B,72
user_0055,Taylor Swift,31
user_0055,Dua Lipa,15
user_0055,Justin Bieber,35
user_0055,Katy Perry,18
user_0056,Post Malone,30
user_0056,Kendrick Lamar,58
user_0056,Drake,46
user_0056,Nicki Minaj,37
user_0056,Eminem,105
user_0056,Travis Scott,82
user_0056,Cardi B,38
user_0056,Justin Bieber,36
user_0056,Ed Sheeran,31
user_0056,Katy Perry,17
user_0056,Taylor Swift,24
user_0057,A.R. Rahman,69
user_0057,Sunidhi Chauhan,65
user_0057,Sonu Nigam,73
user_0057,Shreya Ghoshal,59
user_0057,Neha Kakkar,74
user_0057,Badshah,103
user_0057,Pritam,63
user_0057,Arijit Singh,56
user_0057,Justin Bieber,10
user_0057,Taylor Swift,10
user_0057,Bruno Mars,18
user_0058,A.R. Rahman,66
user_0058,Sunidhi Chauhan,118
user_0058,Sonu Nigam,60
user_0058,Neha Kakkar,73
user_0058,Badshah,73
user_0058,Arijit Singh,86
user_0058,Pritam,38
user_0058,Shreya Ghoshal,104
user_0059,J. Cole,100
user_0059,Post Malone,86
user_0059,Drake,82
user_0059,Cardi B,25
user_0059,Eminem,95
user_0059,Travis Scott,84
user_0059,Kendrick Lamar,100
user_0059,Nicki Minaj,103
user_0060,OneRepublic,100
user_0060,Linkin Park,33
user_0060,The Killers,63
user_0060,Coldplay,35
user_0060,Green Day,99
user_0060,Foo Fighters,83
user_0060,Maroon 5,70
user_0061,Foo Fighters,73
user_0061,Maroon 5,54
user_0061,The Killers,76
user_0061,Imagine Dragons,37
user_0061,Coldplay,29
user_0061,OneRepublic,88
user_0061,Green Day,119
user_0061,Drake,32
user_0061,Nicki Minaj,28
user_0061,Cardi B,11
user_0061,J. Cole,15
user_0061,Post Malone,18
user_0062,Cardi B,62
user_0062,Eminem,39
user_0062,J. Cole,85
user_0062,Post Malone,60
user_0062,Kendrick Lamar,54
user_0062,Travis Scott,90
user_0062,Nicki Minaj,61
user_0062,Drake,66
user_0062,Shreya Ghoshal,36
user_0062,Sunidhi Chauhan,16
user_0062,Arijit Singh,33
user_0062,Sonu Nigam,12
user_0062,Pritam,10
user_0063,Calvin Harris,88
user_0063,Avicii,112
user_0063,Martin Garrix,111
user_0063,Zedd,94
user_0063,Marshmello,40
user_0063,David Guetta,117
user_0063,Alan Walker,74
user_0063,Kygo,75
user_0064,Alan Walker,74
user_0064,Martin Garrix,22
user_0064,David Guetta,74
user_0064,Avicii,60
user_0064,Calvin Harris,90
user_0064,Zedd,108
user_0064,Marshmello,117
user_0064,Dua Lipa,27
user_0064,Bruno Mars,34
user_0064,Ariana Grande,17
user_0064,Katy Perry,34
user_0064,Ed Sheeran,13
user_0065,Badshah,83
user_0065,A.R. Rahman,66
user_0065,Arijit Singh,90
user_0065,Neha Kakkar,44
user_0065,Shreya Ghoshal,81
user_0065,Sonu Nigam,85
user_0065,Pritam,84
user_0065,Sunidhi Chauhan,49
user_0065,Imagine Dragons,11
user_0065,The Killers,18
user_0065,Linkin Park,5
user_0065,Green Day,6
user_0066,Foo Fighters,48
user_0066,OneRepublic,39
user_0066,Linkin Park,115
user_0066,Coldplay,35
user_0066,The Killers,22
user_0066,Imagine Dragons,62
user_0066,Green Day,60
user_0067,Avicii,42
user_0067,Marshmello,87
user_0067,Martin Garrix,65
user_0067,David Guetta,31
user_0067,Calvin Harris,91
user_0067,Kygo,104
user_0067,Dua Lipa,28
user_0067,Ariana Grande,5
user_0067,Ed Sheeran,40
user_0067,Bruno Mars,5
user_0068,Nicki Minaj,37
user_0068,Post Malone,62
user_0068,Drake,41
user_0068,J. Cole,25
user_0068,Eminem,57
user_0068,Cardi B,87
user_0068,The Killers,31
user_0068,Foo Fighters,30
user_0068,Maroon 5,33
user_0068,Linkin Park,11
user_0068,Green Day,22
user_0069,The Killers,42
user_0069,Green Day,20
user_0069,Linkin Park,28
user_0069,Coldplay,64
user_0069,Foo Fighters,105
user_0069,OneRepublic,98
user_0069,Maroon 5,29
user_0069,Imagine Dragons,23
user_0069,Alan Walker,24
user_0069,Kygo,21
user_0069,Martin Garrix,34
user_0069,Marshmello,6
user_0069,Zedd,8
user_0070,Sunidhi Chauhan,57
user_0070,Shreya Ghoshal,61
user_0070,A.R. Rahman,42
user_0070,Neha Kakkar,83
user_0070,Pritam,41
user_0070,Badshah,85
user_0070,Sonu Nigam,95
user_0070,Alan Walker,34
user_0070,Zedd,7
user_0070,Avicii,19
user_0071,Marshmello,65
user_0071,Kygo,39
user_0071,Avicii,82
user_0071,Zedd,42
user_0071,David Guetta,67
user_0071,Martin Garrix,86
user_0071,Alan Walker,115
user_0071,Calvin Harris,49
user_0071,Katy Perry,5
user_0071,Bruno Mars,24
user_0071,Dua Lipa,6
user_0071,Justin Bieber,38
user_0072,Kygo,96
user_0072,David Guetta,47
user_0072,Zedd,33
user_0072,Calvin Harris,72
user_0072,Alan Walker,36
user_0072,Avicii,51
user_0072,Marshmello,65
user_0072,Arijit Singh,33
user_0072,Shreya Ghoshal,11
user_0072,Badshah,35
user_0072,Pritam,37
user_0072,Sunidhi Chauhan,8
user_0073,Badshah,41
user_0073,Pritam,110
user_0073,Sunidhi Chauhan,30
user_0073,Shreya Ghoshal,61
user_0073,Arijit Singh,40
user_0073,A.R. Rahman,30
user_0073,Sonu Nigam,62
user_0073,Neha Kakkar,72
user_0073,Adele,23
user_0073,Dua Lipa,17
user_0073,Ariana Grande,17
user_0073,Ed Sheeran,14
user_0074,Kendrick Lamar,82
user_0074,Travis Scott,61
user_0074,Post Malone,32
user_0074,J. Cole,40
user_0074,Cardi B,106
user_0074,Nicki Minaj,117
user_0074,Eminem,96
user_0075,David Guetta,101
user_0075,Kygo,113
user_0075,Avicii,37
user_0075,Marshmello,100
user_0075,Martin Garrix,118
user_0075,Zedd,52
user_0075,Alan Walker,70
user_0075,The Killers,16
user_0075,Maroon 5,12
user_0075,OneRepublic,11
user_0075,Imagine Dragons,40
user_0075,Linkin Park,8
user_0076,Marshmello,93
user_0076,David Guetta,59
user_0076,Avicii,98
user_0076,Kygo,53
user_0076,Alan Walker,47
user_0076,Zedd,65
user_0076,Martin Garrix,117
user_0076,Calvin Harris,77
user_0076,Maroon 5,18
user_0076,Imagine Dragons,24
user_0076,OneRepublic,8
user_0076,Foo Fighters,16
user_0077,Ed Sheeran,118
user_0077,Adele,113
user_0077,Ariana Grande,38
user_0077,Dua Lipa,80
user_0077,Bruno Mars,30
user_0077,Justin Bieber,87
user_0077,Katy Perry,120
user_0078,Dua Lipa,22
user_0078,Katy Perry,53
user_0078,Ed Sheeran,95
user_0078,Adele,35
user_0078,Bruno Mars,106
user_0078,Justin Bieber,44
user_0078,Taylor Swift,70
user_0078,Ariana Grande,40
user_0078,Sunidhi Chauhan,35
user_0078,Neha Kakkar,25
user_0078,A.R. Rahman,7
user_0078,Badshah,14
user_0079,Avicii,106
user_0079,David Guetta,106
user_0079,Marshmello,38
user_0079,Alan Walker,114
user_0079,Kygo,80
user_0079,Calvin Harris,117
user_0079,J. Cole,13
user_0079,Eminem,25
user_0079,Kendrick Lamar,27
user_0080,Cardi B,48
user_0080,Post Malone,91
user_0080,Kendrick Lamar,50
user_0080,J. Cole,93
user_0080,Travis Scott,108
user_0080,Nicki Minaj,26
user_0080,Eminem,22
user_0080,Drake,114
user_0080,Sunidhi Chauhan,33
user_0080,Badshah,27
user_0080,Neha Kakkar,9
user_0080,Shreya Ghoshal,6
user_0081,Arijit Singh,115
user_0081,Sunidhi Chauhan,40
user_0081,Sonu Nigam,60
user_0081,Shreya Ghoshal,42
user_0081,Badshah,101
user_0081,Neha Kakkar,61
user_0081,A.R. Rahman,118
user_0081,Martin Garrix,12
user_0081,Zedd,24
user_0081,Avicii,18
user_0081,David Guetta,40
user_0081,Calvin Harris,22
user_0082,J. Cole,112
user_0082,Drake,31
user_0082,Cardi B,48
user_0082,Post Malone,26
user_0082,Kendrick Lamar,20
user_0082,Eminem,104
user_0082,Travis Scott,114
user_0082,Katy Perry,33
user_0082,Justin Bieber,21
user_0082,Ariana Grande,40
user_0083,Adele,88
user_0083,Ariana Grande,107
user_0083,Katy Perry,32
user_0083,Justin Bieber,91
user_0083,Dua Lipa,74
user_0083,Ed Sheeran,103
user_0084,Kygo,64
user_0084,Alan Walker,91
user_0084,Marshmello,97
user_0084,Martin Garrix,68
user_0084,Zedd,66
user_0084,Calvin Harris,66
user_0084,Avicii,107
user_0084,David Guetta,59
user_0084,Taylor Swift,21
user_0084,Justin Bieber,11
user_0084,Adele,38
user_0084,Katy Perry,35
user_0085,Martin Garrix,87
user_0085,David Guetta,114
user_0085,Alan Walker,107
user_0085,Marshmello,118
user_0085,Kygo,24
user_0085,Avicii,43
user_0085,Coldplay,25
user_0085,Imagine Dragons,18
user_0085,Green Day,37
user_0086,Maroon 5,55
user_0086,Imagine Dragons,31
user_0086,The Killers,29
user_0086,OneRepublic,67
user_0086,Foo Fighters,42
user_0086,Linkin Park,61
user_0086,Green Day,64
user_0087,Drake,63
user_0087,Nicki Minaj,101
user_0087,Cardi B,43
user_0087,Eminem,97
user_0087,Post Malone,92
user_0087,Kendrick Lamar,111
user_0087,Travis Scott,37
user_0088,Calvin Harris,120
user_0088,Zedd,29
user_0088,Marshmello,69
user_0088,Martin Garrix,71
user_0088,David Guetta,68
user_0088,Avicii,113
user_0088,Badshah,5
user_0088,Sunidhi Chauhan,21
user_0088,Shreya Ghoshal,22
user_0088,A.R. Rahman,37
user_0088,Pritam,15
user_0089,Sonu Nigam,83
user_0089,Shreya Ghoshal,50
user_0089,Sunidhi Chauhan,55
user_0089,Arijit Singh,63
user_0089,Neha Kakkar,86
user_0089,Pritam,98
user_0089,A.R. Rahman,87
user_0089,Badshah,113
user_0089,Cardi B,22
user_0089,Travis Scott,21
user_0089,Kendrick Lamar,24
user_0089,Nicki Minaj,12
user_0090,A.R. Rahman,30
user_0090,Arijit Singh,116
user_0090,Sonu Nigam,101
user_0090,Pritam,35
user_0090,Neha Kakkar,48
user_0090,Badshah,39
user_0090,Shreya Ghoshal,59
user_0090,Sunidhi Chauhan,49
user_0090,Katy Perry,22
user_0090,Ed Sheeran,33
user_0090,Bruno Mars,10
user_0090,Ariana Grande,19
user_0090,Dua Lipa,14
user_0091,OneRepublic,99
user_0091,The Killers,78
user_0091,Green Day,95
user_0091,Coldplay,31
user_0091,Foo Fighters,102
user_0091,Imagine Dragons,40
user_0092,Sunidhi Chauhan,111
user_0092,Arijit Singh,95
user_0092,Badshah,37
user_0092,Pritam,51
user_0092,Shreya Ghoshal,38
user_0092,Sonu Nigam,47
user_0092,Katy Perry,32
user_0092,Ed Sheeran,7
user_0092,Bruno Mars,38
user_0092,Dua Lipa,18
user_0093,Shreya Ghoshal,56
user_0093,Neha Kakkar,66
user_0093,Arijit Singh,96
user_0093,Badshah,28
user_0093,Sunidhi Chauhan,91
user_0093,Pritam,21
user_0093,Sonu Nigam,78
user_0093,Martin Garrix,33
user_0093,Marshmello,7
user_0093,Calvin Harris,35
user_0093,Kygo,32
user_0094,J. Cole,54
user_0094,Eminem,120
user_0094,Cardi B,76
user_0094,Kendrick Lamar,82
user_0094,Travis Scott,49
user_0094,Post Malone,41
user_0094,Drake,37
user_0094,Nicki Minaj,42
user_0094,Dua Lipa,29
user_0094,Justin Bieber,11
user_0094,Ariana Grande,31
user_0094,Taylor Swift,11
user_0095,Imagine Dragons,54
user_0095,OneRepublic,117
user_0095,Foo Fighters,76
user_0095,Coldplay,46
user_0095,Maroon 5,20
user_0095,Linkin Park,63
user_0095,The Killers,119
user_0095,Green Day,63
user_0095,Martin Garrix,5
user_0095,Calvin Harris,25
user_0095,Avicii,25
user_0095,Kygo,18
user_0095,Zedd,40
user_0096,Post Malone,95
user_0096,Nicki Minaj,35
user_0096,Travis Scott,57
user_0096,Cardi B,43
user_0096,Eminem,39
user_0096,J. Cole,37
user_0096,Dua Lipa,9
user_0096,Ariana Grande,40
user_0096,Adele,10
user_0096,Katy Perry,19
user_0097,Calvin Harris,40
user_0097,Martin Garrix,37
user_0097,Alan Walker,38
user_0097,Avicii,60
user_0097,Marshmello,66
user_0097,Zedd,44
user_0097,Kygo,49
user_0098,Foo Fighters,113
user_0098,Linkin Park,42
user_0098,The Killers,60
